country_code,country_name,region,income_level,capital_city,longitude,latitude
492,Monaco,Europe & Central Asia,High income,Monaco,7.41891,43.7325
20,Andorra,Europe & Central Asia,High income,Andorra la Vella,1.5218,42.5075
428,Latvia,Europe & Central Asia,High income,Riga,24.1048,56.9465
442,Luxembourg,Europe & Central Asia,High income,Luxembourg,6.1296,49.61
56,Belgium,Europe & Central Asia,High income,Brussels,4.36761,50.8371
643,Russian Federation,Europe & Central Asia,High income,Moscow,37.6176,55.7558
752,Sweden,Europe & Central Asia,High income,Stockholm,18.0645,59.3327
440,Lithuania,Europe & Central Asia,High income,Vilnius,25.2799,54.6896
348,Hungary,Europe & Central Asia,High income,Budapest,19.0408,47.4984
833,Isle of Man,Europe & Central Asia,High income,Douglas,-4.47928,54.1509
380,Italy,Europe & Central Asia,High income,Rome,12.4823,41.8955
578,Norway,Europe & Central Asia,High income,Oslo,10.7387,59.9138
674,San Marino,Europe & Central Asia,High income,San Marino,12.4486,43.9322
208,Denmark,Europe & Central Asia,High income,Copenhagen,12.5681,55.6763
438,Liechtenstein,Europe & Central Asia,High income,Vaduz,9.52148,47.1411
724,Spain,Europe & Central Asia,High income,Madrid,-3.70327,40.4167
233,Estonia,Europe & Central Asia,High income,Tallinn,24.7586,59.4392
756,Switzerland,Europe & Central Asia,High income,Bern,7.44821,46.948
188,Costa Rica,Latin America & Caribbean ,High income,San Jose,-84.0089,9.63701
136,Cayman Islands,Latin America & Caribbean ,High income,George Town,-81.3857,19.3022
152,Chile,Latin America & Caribbean ,High income,Santiago,-70.6475,-33.475
780,Trinidad and Tobago,Latin America & Caribbean ,High income,Port-of-Spain,-61.4789,10.6596
28,Antigua and Barbuda,Latin America & Caribbean ,High income,Saint John's,-61.8456,17.1175
52,Barbados,Latin America & Caribbean ,High income,Bridgetown,-59.6105,13.0935
796,Turks and Caicos Islands,Latin America & Caribbean ,High income,Grand Turk,-71.141389,21.4602778
591,Panama,Latin America & Caribbean ,High income,Panama City,-79.5188,8.99427
328,Guyana,Latin America & Caribbean ,High income,Georgetown,-58.1548,6.80461
858,Uruguay,Latin America & Caribbean ,High income,Montevideo,-56.0675,-34.8941
533,Aruba,Latin America & Caribbean ,High income,Oranjestad,-70.0167,12.5167
92,British Virgin Islands,Latin America & Caribbean ,High income,Road Town,-64.623056,18.431389
534,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,Philipsburg,,
682,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,Riyadh,46.6977,24.6748
784,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,54.3705,24.4764
470,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,Valletta,14.5189,35.9042
48,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Manama,50.5354,26.1921
512,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,Muscat,58.5874,23.6105
376,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,,35.2035,31.7717
634,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,Doha,51.5082,25.2948
414,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,Kuwait City,47.9824,29.3721
124,Canada,North America,High income,Ottawa,-75.6919,45.4215
60,Bermuda,North America,High income,Hamilton,-64.706,32.3293
690,Seychelles,Sub-Saharan Africa ,High income,Victoria,55.4466,-4.6309
4,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,69.1761,34.5228
760,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Damascus,36.3119,33.5146
728,South Sudan,Sub-Saharan Africa ,Low income,Juba,31.6,4.85
466,Mali,Sub-Saharan Africa ,Low income,Bamako,-7.50034,13.5667
562,Niger,Sub-Saharan Africa ,Low income,Niamey,2.1073,13.514
148,Chad,Sub-Saharan Africa ,Low income,N'Djamena,15.0445,12.1048
430,Liberia,Sub-Saharan Africa ,Low income,Monrovia,-10.7957,6.30039
450,Madagascar,Sub-Saharan Africa ,Low income,Antananarivo,45.7167,-20.4667
729,Sudan,Sub-Saharan Africa ,Low income,Khartoum,32.5363,15.5932
140,Central African Republic,Sub-Saharan Africa ,Low income,Bangui,21.6407,5.63056
454,Malawi,Sub-Saharan Africa ,Low income,Lilongwe,33.7703,-13.9899
800,Uganda,Sub-Saharan Africa ,Low income,Kampala,32.5729,0.314269
768,Togo,Sub-Saharan Africa ,Low income,Lome,1.2255,6.1228
646,Rwanda,Sub-Saharan Africa ,Low income,Kigali,30.0587,-1.95325
508,Mozambique,Sub-Saharan Africa ,Low income,Maputo,32.5713,-25.9664
108,Burundi,Sub-Saharan Africa ,Low income,Bujumbura,29.3639,-3.3784
624,Guinea-Bissau,Sub-Saharan Africa ,Low income,Bissau,-15.1804,11.8037
694,Sierra Leone,Sub-Saharan Africa ,Low income,Freetown,-13.2134,8.4821
854,Burkina Faso,Sub-Saharan Africa ,Low income,Ouagadougou,-1.53395,12.3605
232,Eritrea,Sub-Saharan Africa ,Low income,Asmara,38.9183,15.3315
116,Cambodia,East Asia & Pacific,Lower middle income,Phnom Penh,104.874,11.5556
626,Timor-Leste,East Asia & Pacific,Lower middle income,Dili,125.567,-8.56667
608,Philippines,East Asia & Pacific,Lower middle income,Manila,121.035,14.5515
90,Solomon Islands,East Asia & Pacific,Lower middle income,Honiara,159.949,-9.42676
548,Vanuatu,East Asia & Pacific,Lower middle income,Port-Vila,168.321,-17.7404
598,Papua New Guinea,East Asia & Pacific,Lower middle income,Port Moresby,147.194,-9.47357
104,Myanmar,East Asia & Pacific,Lower middle income,Naypyidaw,95.9562,21.914
296,Kiribati,East Asia & Pacific,Lower middle income,Tarawa,172.979,1.32905
704,Viet Nam,East Asia & Pacific,Lower middle income,Hanoi,105.825,21.0069
860,Uzbekistan,Europe & Central Asia,Lower middle income,Tashkent,69.269,41.3052
762,Tajikistan,Europe & Central Asia,Lower middle income,Dushanbe,68.7864,38.5878
340,Honduras,Latin America & Caribbean ,Lower middle income,Tegucigalpa,-87.4667,15.1333
558,Nicaragua,Latin America & Caribbean ,Lower middle income,Managua,-86.2734,12.1475
