country_code,country_name,region,income_level,capital_city,longitude,latitude
99068,Large Marine Ecosystem: Canadian Eastern Arctic - West Greenland,Unknown,Unknown,,,
772,Tokelau,Unknown,Unknown,,,
518,Eastern Asia (excluding Japan),Unknown,Unknown,,,
99060,Large Marine Ecosystem: Insular Pacific-Hawaiian,Unknown,Unknown,,,
528,Netherlands (Kingdom of the),Unknown,Unknown,,,
901,Africa (ILO),Unknown,Unknown,,,
951,Other Africa (IEA),Unknown,Unknown,,,
99093,Large Marine Ecosystem: South West Australian Shelf,Unknown,Unknown,,,
840,United States of America,Unknown,Unknown,,,
17,Middle Africa,Unknown,Unknown,,,
223,Eastern Asia (excluding Japan and China),Unknown,Unknown,,,
736,Sudan [former],Unknown,Unknown,,,
99029,"FAO Major Fishing Area: Atlantic, Eastern Central",Unknown,Unknown,,,
636,Other non-OECD Americas,Unknown,Unknown,,,
934,SIDS Oceania,Unknown,Unknown,,,
99074,Large Marine Ecosystem: Celtic-Biscay Shelf,Unknown,Unknown,,,
86,British Indian Ocean Territory,Unknown,Unknown,,,
418,Lao People's Democratic Republic,Unknown,Unknown,,,
570,Niue,Unknown,Unknown,,,
15,Northern Africa,Unknown,Unknown,,,
420,Latin America,Unknown,Unknown,,,
920,Azores Islands,Unknown,Unknown,,,
99042,WHO Africa,Unknown,Unknown,,,
99043,WHO Americas,Unknown,Unknown,,,
166,Cocos (Keeling) Islands,Unknown,Unknown,,,
260,French Southern Territories,Unknown,Unknown,,,
410,Republic of Korea,Unknown,Unknown,,,
158,Other non-specified areas in Eastern Asia,Unknown,Unknown,,,
912,Lower middle economies (WB),Unknown,Unknown,,,
99023,"FAO Major Fishing Area: Atlantic, Northwest",Unknown,Unknown,,,
99049,"Residual/unallocated ODA: Unspecified, developing countries",Unknown,Unknown,,,
99076,Large Marine Ecosystem: Mediterranean Sea,Unknown,Unknown,,,
99115,Large Marine Ecosystem: Aleutian Islands,Unknown,Unknown,,,
248,Åland Islands,Unknown,Unknown,,,
446,"China, Macao Special Administrative Region",Unknown,Unknown,,,
938,Member States,Unknown,Unknown,,,
952,Unallocated by country,Unknown,Unknown,,,
99092,Large Marine Ecosystem: Southeast Australian Shelf,Unknown,Unknown,,,
99107,Large Marine Ecosystem: Laptev Sea,Unknown,Unknown,,,
180,Democratic Republic of the Congo,Unknown,Unknown,,,
638,Réunion,Unknown,Unknown,,,
931,SIDS Africa,Unknown,Unknown,,,
99050,Residual/unallocated ODA: Northern America and Europe,Unknown,Unknown,,,
655,Ascension,Unknown,Unknown,,,
662,Saint Lucia,Unknown,Unknown,,,
535,"Bonaire, Sint Eustatius and Saba",Unknown,Unknown,,,
